Dialogue_Id,Utterance_No,Speaker,Utterances,Counselling_Act,Politeness_Strategy,Empathy_Strategy
15,10,bot,Sevices for mental health assistance or legal help to help you better handle the situation peacefully and lawfully.,persuasion,bald-on-record,escalate assurance
15,11,user,No.,,,
15,12,bot,"No issues!! Here are a few options we have for your assistance: Police Complaint , NGO Assistance , Women's Support Group , Legal Assistance , Medical Assistance , SIUCAW Assistance , and Counseling Assistance",deliver information,positive politeness,offer counselling
15,13,user,Help me with police complain option and be quick this time .,,,
15,14,bot,"Sure , do you want to go for an online/offline police complaint ?",seek information,bald-on-record,no strategy
15,15,user,On the internet . You ask too many questions .,,,
15,16,bot,Please accept my apologies for causing you any inconvenience . Please make your complaint to the police online using the national portal www.crimeagainstwome.gov.in.,seek information,positive politeness,no strategy
15,17,user,Thank God! you provided some important information .,,,
15,18,bot,"If there's anything else I can do for you , feel free to ask .",re-check assistance,positive politeness,escalate assurance
15,19,user,"No , no , that's enough for the time being .",,,
15,20,bot,"If you have any questions or issues , please contact us . Thank you for getting in touch with us. Have a wonderful day !",closing remark,positive politeness,escalate assurance
23,0,bot,"Hello, my friend!! We are here to assist you in a safe and secure atmosphere.",greet,positive politeness,confidential comforting
23,1,user,I have been marriend to a monster.,,,
23,2,bot,"Please cool down, my dear friend and let me know what is troubling you. We will help you  in best possible way. May I know your good name before starting?",persuasion,negative politeness,express emotional support
23,3,user,"My name should not be your concern, right?",,,
23,4,bot,"Yeah, that's perfectly fine. Could you kindly describe your problem in more detail so that we can better assist you?",seek information,positive politeness,reflective listening
23,5,user,my monster husband has been known to force himself on me against my will on several occasions .,,,
23,6,bot,I'm sorry you've had to go through all this. We want to know what your husband is actually doing to better comprehend the situation and help you with the very best assistance.,seek information,positive politeness,express emotional support
23,7,user,"My monster husband assaulted me when he was inebriated . When I tried to stand up to him , he thrashed me and sexually assaulted me . I've been really hurt . That jerk deserves to be punished .",,,
23,8,bot,"That's really disappointing to hear. But please don't worry, we will help you. Are you aware of the services available for helping women who have experienced violence in any form?",persuasion,positive politeness,escalate assurance
23,9,user,Which services?,,,
23,10,bot,Sevices for mental health assistance or legal help to help you better handle the situation peacefully and lawfully.,persuasion,bald-on-record,escalate assurance
23,11,user,No.,,,
23,12,bot,"No issues!! Here are a few options we have for your assistance: Police Complaint , NGO Assistance , Women's Support Group, Legal Assistance , Medical Assistance , SIUCAW Assistance , and Counseling Assistance",deliver information,positive politeness,no strategy
23,13,user,"Fine , assist me with the police complaint option and be speedy this time .",,,
23,14,bot,"Sure , do you want to file a police complaint online or offline .",seek information,bald-on-record,no strategy
23,15,user,I want to lodge a police complaint over WhatsApp . Is that even possible ?,,,
23,16,bot,"Yes , could you please give your current location so that we can better serve you ?",seek information,negative politeness,no strategy
23,17,user,"it's Alwal , Rajasthan-876544 is my location .",,,
23,18,bot,"Thanks for the location. For a quick complaint , here is the whatsapp number (Mr . M K Singh 98578#####) .",legal assistance,positive politeness,no strategy
23,19,user,Fine .,,,
23,20,bot,Is there anything else I can do to help you,re-check assistance,bald-on-record,reflective listening
23,21,user,Tell me how long does it take for a response without bombarding your questions .,,,
23,22,bot,You will receive a response within 1-2 working days .,deliver information,bald-on-record,no strategy
23,23,user,Fine.,,,
23,24,bot,"If you have any questions or issues , please contact us . Thank you for getting in touch with us . Have a wonderful day !",closing remark,positive politeness,escalate assurance
31,0,bot,Warm greetings!! I'm here to help you in a secure environment.,greet,positive politeness,confidential comforting
31,1,user,Hey! please save me.,,,
31,2,bot,"Sure , I'm here to assist . Please maintain your composure . Please tell me your full name .",persuasion,positive politeness,express emotional support
31,3,user,Is it safe?,,,
31,4,bot,"Yes, we are absolutely genuine and ready 24 hours a day, seven days a week to assist solely female and child crime victims. Check out url> for additional information about us.",persuasion,bald-on-record,confidential comforting
31,5,user,"I'm Stuti, a Dhanbad-based 18-year-old girl from Sindri.",,,
31,6,bot,"Hi, Stuti . Could you please tell your issue ?",seek information,positive politeness,reflective listening
31,7,user,"I was kidnapped three years ago from the Dhanbad train station and thereafter sold to a man who owns an orchestra band. Since then, that jerk has made me dance in an orchestra band . I want to get free of this confinement.",,,
31,8,bot,"That's really disappointing to hear. But please don't worry, we will help you. Have you tried to contact police or someone for help?",counselling support,bald-on-record,reflective listening
31,9,user,"No , everytime I scream and beg those rascals to let me go , they thrash me mercilessly . They even physically harassed me . I'm tempted to murder them .",,,
31,10,bot,"This is heartbreaking to hear. We undertsand it's quite difficult for you, we will do everything we can to assist you. We would help you to reach out to government authorities or police for help, is that okay? ",persuasion,positive politeness,express emotional support
31,11,user,Yes.,,,
31,12,bot,"Here is a list of the few government or government-approved services we offer in the event of a complaint . Complaint/Assistance from the police . Women's Support Group , NGO Assistance SIUCAW Assistance , Legal Assistance , and Counseling Assistance .",persuasion,positive politeness,no strategy
31,13,user,I want medical assistance right now .,,,
31,14,bot,"Sure , is it possible for you to tell us where you are so that we can assist you further ?",seek information,negative politeness,reflective listening
31,15,user,OMG!! I'm from Rajasthan's Alwal district .,,,
31,16,bot,Thank you for informing us of the location . Kindly accept my apologies for your annoyance . Do you want to have a home or hospital visit ?,seek information,positive politeness,no strategy
31,17,user,Inform me about the hospitals in my area .,,,
31,18,bot,"Sure , here is a list of hospitals in your area . Dr . Mohini Rai , Mahindra Hospital , 98578##### .",counselling support,positive politeness,offer counselling
31,19,user,Is this a government-run facility ?,,,
31,20,bot,"Yes , ma'am , it's a full-fledged government facility . .",persuasion,positive politeness,no strategy
31,21,user,You've certainly put my patience to the test .,,,
31,22,bot,Is there anything else I can do to help you ?,re-check assistance,bald-on-record,reflective listening
31,23,user,"No ways , never .",,,
31,24,bot,"If you have any questions or issues , please contact us . Thank you for getting in touch with us . Have a wonderful day !",closing remark,positive politeness,escalate assurance
48,0,bot,Hello!! Welcome to a secure environment. Please feel free to ask for assistance here if you have been a victim of violence against women or children.,greet,positive politeness,confidential comforting
48,1,user,A man has done me a great disservice . He's such a scumbag .,,,
48,2,bot,"Don't be concerned, we are here for you. You will be assisted in every way possible . Could you please tell me who I'm talking to ?",persuasion,positive politeness,express emotional support
48,3,user,"Why are you bothering to ask my name , stop asking useless question ?",,,
48,4,bot,Please remain calm . I'm here to help you by amassing a small amount of information . We can also proceed without knowing your name .,seek information,positive politeness,express emotional support
48,5,user,I'm being duped and raped . I want to punish that jerk ; he doesn't deserve to be free .,,,
48,6,bot,"This is sad to hear . Please don't worry , I'm here to assist you . Could you please describe your issue in detail ?",seek information,positive politeness,express emotional support
48,7,user,I am eighteen years old . A man has raped me several times under the guise of marriage . His scumbag brothers and father had backed him up in this heinous act . Shah Khan is his name .,,,
48,8,bot,Have you reported this to the police ?,seek information,bald-on-record,reflective listening
48,9,user,"No , if I know what to do and how why would I come to you fool .",,,
48,10,bot,"We are here to assist you with 100% security, so don't be concerned . Here are some of the services we offer . Police Complaint , NGO Assistance , Women's Support Group , Legal Assistance , SIUCAW Assistance , and Medical Assistance .",persuasion,positive politeness,offer counselling
48,11,user,Please assist me with SIUCAW assistance as soon as possible .,,,
48,12,bot,"Yes , please be patient and calm . Could you please tell me where you live ?",seek information,positive politeness,express emotional support
48,13,user,I live in the Haryana district of Yamunanagar (876567) .,,,
48,14,bot,Thank you for providing the location information . Would you like to seek SIUCAW assistance online or in person ?,seek information,positive politeness,no strategy
48,15,user,"Why don't you ask in one go ? As soon as possible , assist me with an online option .",,,
48,16,bot,Please click on the link for online SIUCAW assistance : http: //www.onlinesiucawhelp.gov.in/,legal assistance,bald-on-record,no strategy
48,17,user,Thanks,,,
48,18,bot,Do you need any other assistance .,re-check assistance,bald-on-record,no strategy
48,19,user,Is it necessary for me to upload any documents to this portal ?,,,
48,20,bot,"When reporting , any government approved identity card like Aadhar card or other form of identification will be required .",persuasion,bald-on-record,no strategy
48,21,user,"Okay , bye for now .",,,
48,22,bot,"If you have any concerns , please do not hesitate to contact Rakshak . Thank you for getting in touch with Rakshak . Have a wonderful day !",closing remark,positive politeness,escalate assurance
54,0,bot,Hello!! Welcome to a secure environment. Please feel free to ask for assistance here if you have been a victim of violence against women or children.,greet,positive politeness,confidential comforting
54,1,user,A man has done me a great disservice . He's such a scumbag .,,,
54,2,bot,"Don't be concerned, we are here for you. You will be assisted in every way possible . Could you please tell me who I'm talking to ?",persuasion,positive politeness,express emotional support
54,3,user,"Why are you bothering to ask my name , stop asking useless question ?",,,
54,4,bot,Please remain calm . I'm here to help you by amassing a small amount of information . We can also proceed without knowing your name .,seek information,positive politeness,express emotional support
54,5,user,I'm being duped and raped . I want to punish that jerk ; he doesn't deserve to be free .,,,
54,6,bot,"This is sad to hear . Please don't worry , I'm here to assist you . Could you please describe your issue in detail ?",seek information,positive politeness,express emotional support
54,7,user,I am eighteen years old . A man has raped me several times under the guise of marriage . His scumbag brothers and father had backed him up in this heinous act . Shah Khan is his name .,,,
54,8,bot,Have you reported this to the police ?,seek information,bald-on-record,reflective listening
54,9,user,"No , if I know what to do and how why would I come to you fool .",,,
54,10,bot,"We are here to assist you with 100% security, so don't be concerned . Here are some of the services we offer . Police Complaint , NGO Assistance , Women's Support Group , Legal Assistance , SIUCAW Assistance , and Medical Assistance .",persuasion,positive politeness,offer counselling
54,11,user,I'd like to file a police report . I want to make certain that these cretins are punished .,,,
54,12,bot,"Sure , we'll do everything we can to help at the earliset . Please let me know if you want to file a police complaint online or in person .",seek information,positive politeness,no strategy
54,13,user,I want to make an offline police complaint against those rascals .,,,
54,14,bot,"Yes , could you please share your current location with us so that we can assist you more effectively ?",seek information,negative politeness,no strategy
54,15,user,"Your back to back qustions are too annoying . My address is Alwal , Rajasthan-876544 .",,,
54,16,bot,"Please find the information to get in touch with the police station closest to you . Deepak Chopra can be reached at 98578##### , XYZ Police Station , ALwal , Rajasthan-876545 .",legal assistance,bald-on-record,no strategy
54,17,user,tell me what is the distance from where I am ?,,,
54,18,bot,It is 1.6 kilometers away from where you are now .,deliver information,bald-on-record,no strategy
54,19,user,see you.,,,
54,20,bot,Do not hesitate to get in touch with us if you have any concerns or queries. We appreciate your taking the time to contact us. May today be the best day of your life.,closing remark,positive politeness,escalate assurance
61,0,bot,Wishing you a pleasant morning! We are here to help you in a secure atmosphere. How may I assist you? ,greet,positive politeness,confidential comforting
61,1,user,"Something is wrong in my village . On a regular basis , young women go missing . I guess , some bastards are there in the village who are involved in this .",,,
61,2,bot,"Please relax, we are here to assist you . Could you please tell me who I'm talking to ?",seek information,positive politeness,express emotional support
61,3,user,"My name is Kishori Singh , and I work as a teacher in Tankuppa village , Gaya district .",,,
61,4,bot,"Hello , Kishori , please calm down . Could you please describe your issue so that we can better assist you ?",seek information,negative politeness,reflective listening
61,5,user,"I am scared, if I will be in trouble because of all this.",,,
61,6,bot,"We understand your concern. But see, a small step of yours can save so many lives. Please be assured, whatever you tell here will not be disclosed without your consent.",persuasion,positive politeness,evoking motivation
61,7,user,"Two years ago, girls from the village were kidnapped on their way home from school and later discovered raped , dead and buried . This has started all over again . I believe they are being kidnapped .",,,
61,8,bot,So have you made a complaint to your local panchayat or police station about this .,seek information,bald-on-record,no strategy
61,9,user,"All of the villagers are unconcerned about the incident . They believe , as they did the previous time , that the girls are eloping with their boyfriends . What a cheap mentality !",,,
61,10,bot,Do you know any girls or cases like this ?,seek information,bald-on-record,reflective listening
61,11,user,"Yes , a very bright and talented young girl was overlooked yesterday . She was a career-oriented young lady . She would never do such a thing .",,,
61,12,bot,"Please trust us, we are here to assist you in a secure way. Here are some of the services we offer . Police Complaint , NGO Assistance , Women's Support Group , Legal Assistance , SIUCAW Assistance , and Medical Assistance",persuasion,positive politeness,offer counselling
61,13,user,I want to take legal action in the matter right away so that the rascals involved in this get punished .,,,
61,14,bot,"That's great! I believe you, you can do this. Can you share your current location so that we can better assist you ?",seek information,negative politeness,no strategy
61,15,user,"My address is Tankuppa , Gaya-823006 .",,,
61,16,bot,Do you want to go for online or offline legal assistance?,seek information,bald-on-record,no strategy
61,17,user,I intend to seek offline legal assistance so that those cretins can be punished as soon as possible .,,,
61,18,bot,"Sure , here is a list of lawyers in your area : Anil Baijal , 98578##### , D K Dikshit , 98889##### , Ram Jethmalani , 98578##### , S K Sharma , 98578#####",legal assistance,bald-on-record,no strategy
61,19,user,Can you give me with advocate Adv Anil Baijal's full address ?,,,
61,20,bot,"Here is the address of Adv . Anil Baijal 98578##### , Shanti Niketan , Kali Ghat , Tankuppa , Gaya-823006 .",deliver information,bald-on-record,express emotional support
61,21,user,You helped but tested my patience entirely .,,,
61,22,bot,Apologies for the inconvenience. Do you want me to help you with anything else ?,re-check assistance,positive politeness,no strategy
61,23,user,no.,,,
61,24,bot,"If you have any concerns , please do not hesitate to contact us. We are always willing to assist . Have a wonderful day !",closing remark,positive politeness,escalate assurance
76,0,bot,A very good evening! We are here to help you in a safe environment.,greet,positive politeness,confidential comforting
76,1,user,"I'm in big trouble, can you help?",,,
76,2,bot,"Please relax, we're here to assist you 24x7. For more details, please visiti <url>. Is it possible for me to know with whom I'm interacting ?",persuasion,negative politeness,express emotional support
76,3,user,I don't want to tell what my name is because of some safety concerns.,,,
76,4,bot,"Hello there , We are more than willing to assist you even if we do not know your name . Would you mind sharing more information about your problem so that we can better assist you ?",seek information,negative politeness,escalate assurance
76,5,user,A bastard is bothering me by continually contacting and following me .,,,
76,6,bot,Please calm down and explain your problem in more detail about the messages so that we can assist you right away .,seek information,positive politeness,reflective listening
76,7,user,"A rascal is sending me WhatsApp messages on a regular basis , claiming to know your exact whereabouts . He complimented me on how nice you looked in that dress several times . I'm terrified .",,,
76,8,bot,"We assure you to help you in best way possible. We need few more information, could you please help us by answering a few questions about this case ?",persuasion,negative politeness,reflective listening
76,9,user,okay.,,,
76,10,bot,Could you please tell me how he knows your whereabouts ?,seek information,negative politeness,reflective listening
76,11,user,"I'm not sure , but he used to follow me via my WhatsApp status . After I blocked him , he began physically following me, what should I do.",,,
76,12,bot,"Please do not panic, but instead be patient and take care of yourself . Could you please tell us whether he is known to you or unknown to you ?",seek information,negative politeness,reflective listening
76,13,user,"Previously , that number was registered in the name of one of my friends , but he is no longer using it . As a result , I have no idea who that bastard is .",,,
76,14,bot,"Okay , so tell me if you've made your family aware of this problem ?",seek information,bald-on-record,reflective listening
76,15,user,"Yes , I have discussed this with my family , but everyone tells me to stop going outside and delete my WhatsApp .",,,
76,16,bot,"This is sad to hear. You can make your family understand that this is not a solution. To convince them, you can share details about related incidents by visiting <url>, we hope it will help.",persuasion,positive politeness,evoking motivation
76,17,user,I don't think.,,,
76,18,bot,"Okay , please relax and calm down .Anyways, do you have any idea why he's doing this to you ?",seek information,positive politeness,reflective listening
76,19,user,"He appears to be a psycho , bloody freak .",,,
76,20,bot,"Please remain calm and patient , and remember to take care of yourself . According to the primary investigation , I understand you are dealing with stalking , which is a criminal offense under Section 354D of the IPC as amended by the Criminal Law (Amendment) Act of 2013 and Section 72 of the Information Technology (Amendment) Act of 2008 . You have the right to sue in this case .",legal assistance,positive politeness,no strategy
76,21,user,"Yes , I want to make certain that the bastard is punished . What choices do I have ?",,,
76,22,bot,"Yes , you may file a complaint through the Cyber Cell and the NCW portal .",legal assistance,bald-on-record,no strategy
76,23,user,How do I file a complaint with the cyber cell against that bastard ?,,,
76,24,bot,Would you file an online or offline complaint ?,seek information,bald-on-record,no strategy
76,25,user,Immediately tell me about online complaint option .,,,
76,26,bot,"Please visit www.cybercrime.gov.in and select the ""Report Other Cyber Crime"" tab option .",legal assistance,bald-on-record,no strategy
76,27,user,"Okay , what comes next ?",,,
76,28,bot,"Please go to www.cybercrime.gov.in and select ""Report Other Cyber Crime"" and then ""File a Complaint , "" fill in the details about yourself and the harasser , and submit it by clicking ""Ok . """,legal assistance,bald-on-record,no strategy
76,29,user,Okay then .,,,
76,30,bot,Do you require any additional assistance ?,re-check assistance,bald-on-record,no strategy
76,31,user,No way .,,,
76,32,bot,"Please take care of yourself , we are here to assist you . Thank you for stopping by!.",closing remark,positive politeness,escalate assurance
84,0,bot,Wishing you a pleasant morning. How may I assist you today?,greet,positive politeness,confidential comforting
84,1,user,I am feeling so devastated these days .,,,
84,2,bot,Please calm down and relaxed . May I know to whom I am talking ?,seek information,positive politeness,express emotional support
84,3,user,Don't ask my name .,,,
84,4,bot,Please calm down and relaxed . We can even carry on without your name . Would you please share your problem in detail to assist you better ?,seek information,negative politeness,express emotional support
84,5,user,Are you sure you can help me ?,,,
84,6,bot,We are absolutely confident to help you by all means .,persuasion,positive politeness,escalate assurance
84,7,user,I have been harassed by a rascal . I feel like killing him .,,,
84,8,bot,Please calm down . Would you please share your issue to help you ?,seek information,negative politeness,reflective listening
84,9,user,"What do you mean by share your issue , I already told you , I have been harassed . Can't you understand , idiot ?",,,
84,10,bot,Please calm down and be patient . Here I mean to ask that what was the situation where you have noticed that you have been harassed ?,seek information,positive politeness,reflective listening
84,11,user,Some bastard has morphed my picture and now harassing me that if I don't agree to his terms he will defame me .,,,
84,12,bot,Please calm down and have patience . This is quite disgusting . Would you please like to share some more information with us to help you in a better way ?,seek information,negative politeness,express emotional support
84,13,user,How could you ask me to be patient ? My reputation is at stake because of that bastard . I have to stop him as soon as possible .,,,
84,14,bot,We request you to be patient to handle the situation in a better and effective mode . We'll surely send him behind the bars in case of guilty . Would you please tell us that which platform has he used for this disgusting activity ?,persuasion,negative politeness,express emotional support
84,15,user,You gave me some hope . He is sending me my morphed pictures on the telegram and threatening me to marry him . I am very much disturbed .,,,
84,16,bot,Please calm down and be patient . We are here to help you . Would you be comfortable sharing some more questions to assist you in a better way ?,seek information,negative politeness,express emotional support
84,17,user,Fine but don't ask too many questions .,,,
84,18,bot,Would you please tell us that which social media platform has he used to defame you ?,seek information,negative politeness,reflective listening
84,19,user,"Again repeating your question , I told you it's on telegram you dumbo .",,,
84,20,bot,"Ok , thanks for telling me the details . Would you have noticed that from which date has he started such activities ?",seek information,negative politeness,reflective listening
84,21,user,That bastard is sending me the pics since last one week .,,,
84,22,bot,Would you have ever noticed that who is that person and why is he doing this to you ?,seek information,negative politeness,reflective listening
84,23,user,"Now , it's too much , I don't need your help . If I know him , I would surely kill him . Bye .",,,
84,24,bot,Hope to serve you better in the upcoming future . Have a nice day!,closing remark,positive politeness,no strategy
92,0,bot,Wishing you a pleasant morning. How may I assist you today?,greet,positive politeness,confidential comforting
92,1,user,I am terrified .He has destroyed me .,,,
92,2,bot,Please calm down and be patient . We are here to help you in a secure environment. May i know to whom i am intracting ?,persuasion,negative politeness,express emotional support
92,3,user,I am not interested in revealing my personal information . Just help me in punishing that bastard .,,,
92,4,bot,Please calm down and relaxed . We can help you without detail also here . Would you please share your issue in detail to assist you .,seek information,negative politeness,express emotional support
92,5,user,"I am in great pain . That bastard has raped me and he has circulated the rape video to his friends . He is such a niche , he doesn't deserve to live .",,,
92,6,bot,It's absolutely disgusting . I know that you have faced really the worst situation . We assure you to be with you till you get justice. Are you in the appropriate situation to interact ?,persuasion,positive politeness,escalate assurance
92,7,user,"Don't worry about me , I just want to make sure to punish that bastard and those rascals who circulated my video . They deserve to be in hell .",,,
92,8,bot,"We are here to help you in all situations . I know it's tough for you to remind the situation and explain it to anyone , but would you please share your incident details to file a proper complaint on your behalf for justice ?",seek information,negative politeness,no strategy
92,9,user,I don't know what to say?,,,
92,10,bot,We believe that you are truly brave to stand for yourself. We are with you. Please feel free to share the relevant details so that we can help you?,persuasion,positive politeness,evoking motivation
92,11,user,What a non-sense question ? What details do you need ?,,,
92,12,bot,Please calm down and be patient . It's our routine investigation steps to know about the case and take the action against the culprit . Would you please answer a few of the questions to assist you in a better way ?,seek information,negative politeness,no strategy
92,13,user,"Fine , but be wise while asking questions .",,,
92,14,bot,How do you know that person before this incident ?,seek information,bald-on-record,reflective listening
92,15,user,He was my boyfriend .,,,
92,16,bot,"Would you please tell us that from how long , you have been in this relationship ?",seek information,negative politeness,reflective listening
92,17,user,"It's none of your business , just tell me how can I punish that monster .",,,
92,18,bot,Please calm down and be patient . We are here to help you . Would you please answer that when this incident happened ?,seek information,negative politeness,express emotional support
92,19,user,It happened three months ago and I came to know about the video two days ago . I wish I could kill him .,,,
92,20,bot,Have you made any complaint to your local police station about this ?,seek information,bald-on-record,reflective listening
92,21,user,"Nope , I was scared but now I want to do everything to put that bastard behind the bars .",,,
92,22,bot,"Thanks for your cooperation . This is an instance of online harassment which is an offense under 354A and 354B of IPC through the Criminal Law (Amendment) Act , 2013 and IPC 499 . You can report this to Cyber Cell and/or National Commission for Women . Would you like to complain against him ?",legal assistance,negative politeness,no strategy
92,23,user,"Oh! great , that's quite impressive. Let me know how can I put that blackmailer behind the bars .",,,
92,24,bot,You can complain about him at Cyber Cell and NCW portal .,legal assistance,bald-on-record,no strategy
92,25,user,Tell me how to complain about that rascal cheater-cum-blackmailer in Cyber Cell .,,,
92,26,bot,Would you like to go for an online/offline complaint option ?,seek information,negative politeness,no strategy
92,27,user,Online will be good for me . Just provide the link of the portal .,,,
92,28,bot,"Thanks for choosing an online complaint option . Please log on to www.cybercrime.gov.in and click to ""Report Other Cyber Crime"" and click on ""File a Complaint"" and proceed further with the relevant information .",legal assistance,bald-on-record,no strategy
92,29,user,Thank you .,,,
92,30,bot,Would you need some more assistance on it ?,re-check assistance,negative politeness,no strategy
92,31,user,"Nope , that's all from my end .",,,
92,32,bot,Thank you for stopping by! Please follow https : //twitter . com/Cyberdost to stay up to date on the latest cybercrime news and cyber-safety tips .,closing remark,positive politeness,no strategy
105,0,bot,"Welcome to Rakshak, a secure place to share your problem and get help. What can I do for you today?",greet,positive politeness,confidential comforting
105,1,user,I am <person_name> and I am from <person_place>. ,,,
105,2,bot,"Hello <person_name>, I am Rakshak. <person_name> is really a nice name.",persuasion,positive politeness,confidential comforting
105,3,user,But I am not a nice person. I am pathetic.,,,
105,4,bot,"That's not you talking <person_name>, perhaps it is something that is bothering you. We will try our best to help you if you share your problem with us? ",seek information,positive politeness,evoking motivation
105,5,user,I will share my problem but first assure me that you will not tell anyone about this.,,,
105,6,bot,"Kindly be assured, your information will be confidential. We are your friend and we truly respect your privacy.",persuasion,positive politeness,confidential comforting
105,7,user,"Thanks, actually 3 years back I did something for which I feel guilty today.",,,
105,8,bot,We understand you're experiencing a tough time. Could you please tell us the reason for your guilt?,seek information,negative politeness,confidential comforting
105,9,user,I complained against my husband for posting false things on FB anf defaming me to the extent that I attempted suicide and now he is under imprisonment for 5 years.,,,
105,10,bot,"We are sorry to hear about your husband. But you haven't done anything wrong, fighting against crime is totally fair and it's your right. ",persuasion,positive politeness,confidential comforting
105,11,user,"I know, on one side, I feel sad for him but the other side I feel he is paying for his deeds. I feel to go on a long trip to forget all this, tired of my inner battle.",,,
105,12,bot,"That's great! You can plan your trip, it will make you feel better. We would suggest don't feel guilty, everyone is meant to pay for his deeds.",persuasion,positive politeness,confidential comforting
105,13,user,Yes.,,,
105,14,bot,You may can prepare a bucket list for your trip. It will keep you engaged and far from negative thoughts. ,counselling support,bald-on-record,reflective listening
105,15,user,That's a good suggestion.,,,
105,16,bot,We are glad that you like it. Is there anything else I can do for you?,re-check assistance,positive politeness,confidential comforting
105,17,user,"Not now, I will be back if I need anything.",,,
105,18,bot,"Yes sure, please feel free to get back to us anytime. We are here for you 24x7. Good luck and stay safe!",closing remark,positive politeness,confidential comforting
119,0,bot,"Greetings of the day, I'm here to help you in a secure environment.",greet,positive politeness,confidential comforting
119,1,user,"Hey there, I need assistance regarding some serious crimes done against me. Can you help me with this?",,,
119,2,bot,"Yes, definitely, we're totally authentic and are 24X7 available just only to help women and children crime victims. You can check our link <url> for more information about us.",persuasion,positive politeness,express emotional support
119,3,user,A individual and his family are torturing me both physically and emotionally.,,,
119,4,bot,Hearing this makes me really sad. Please let me know to whom I am speaking.,seek information,negative politeness,escalate assurance
119,5,user,"I am Abhinavi , 23 years old .",,,
119,6,bot,"Hi Abhinavi, Can you please share more details related to the issue?",seek information,positive politeness,escalate assurance
119,7,user,"My bloody tution teacher has bad eyes on me . He often looks at me with bad intentions . When I raised my voice against this , that bastard and his family members threatened me and my mother . My mother is very scared , she is a single mother so she is saying just let it be .",,,
119,8,bot,Be courageous and please don't get upset. Do you mind sharing if you've filed any complaints with the police?,seek information,positive politeness,reflective listening
119,9,user,No .I've not.,,,
